# of Use,# of Use
%1$s incl tax.,%1$s incl tax.
%s - %s,%s - %s
%s Item(s),%s Item(s)
%s and above,%s and above
The file you uploaded is larger than %s Megabytes allowed by server,The file you uploaded is larger than %s Megabytes allowed by server
The filters must be an array.,The filters must be an array.
The image contents is not valid base64 data.,The image contents is not valid base64 data.
The image is not specified.,The image is not specified.
The model collection resource name is not defined.,The model collection resource name is not defined.
The Post %s has been added to comparison list.,The Post %s has been added to comparison list.
The Post %s has been removed from comparison list.,The Post %s has been removed from comparison list.
The Post attribute has been deleted.,The Post attribute has been deleted.
The Post attribute has been saved.,The Post attribute has been saved.
The Post has been created.,The Post has been created.
The Post has been deleted.,The Post has been deleted.
The Post has been duplicated.,The Post has been duplicated.
The Post has been saved.,The Post has been saved.
The Post has required options,The Post has required options
The review has been deleted,The review has been deleted
The review has been saved.,The review has been saved.
The review was removed by another user or does not exist.,The review was removed by another user or does not exist.
The search was deleted.,The search was deleted.
The text is too long,The text is too long
There are no %s available.,There are no %s available.
There are no customers for this alert,There are no customers for this alert
There are no customers for this alert.,There are no customers for this alert.
There are no Posts matching the selection.,There are no Posts matching the selection.
There was an error while request processing.,There was an error while request processing.
This Attribute no longer exists,This Attribute no longer exists
This attribute cannot be deleted.,This attribute cannot be deleted.
This attribute cannot be edited.,This attribute cannot be edited.
This attribute cannot be updated.,This attribute cannot be updated.
This attribute is used in configurable Posts.,This attribute is used in configurable Posts.
This attribute is used in configurable Posts. You cannot remove it from the attribute set.,This attribute is used in configurable Posts. You cannot remove it from the attribute set.
This attribute no longer exists,This attribute no longer exists
This attribute set no longer exists.,This attribute set no longer exists.
"This group contains attributes, used in configurable Posts. Please move these attributes to another group and try again.","This group contains attributes, used in configurable Posts. Please move these attributes to another group and try again."
This group contains system attributes. Please move system attributes to another group and try again.,This group contains system attributes. Please move system attributes to another group and try again.
This is a required option,This is a required option
This Post no longer exists.,This Post no longer exists.
This search no longer exists.,This search no longer exists.
This setting will be applied when all prices in the specific price interval are equal.,This setting will be applied when all prices in the specific price interval are equal.
Tier Pricing,Tier Pricing
Tile,Tile
Time Format,Time Format
Title,Title
"To reindex the enabled Post(s), the store or Post must be specified","To reindex the enabled Post(s), the store or Post must be specified"
"To see Post price, add this item to your cart. You can always remove it later.","To see Post price, add this item to your cart. You can always remove it later."
Top/Left,Top/Left
Top/Right,Top/Right
Total Qty Base Items,Total Qty Base Items
Total Qty Content Items,Total Qty Content Items
Total incl. Tax: %1$s,Total incl. Tax: %1$s
Total of %d record(s) have been deleted.,Total of %d record(s) have been deleted.
Total of %d record(s) have been updated.,Total of %d record(s) have been updated.
Total of %d record(s) were updated,Total of %d record(s) were updated
Type,Type
URL Rewrite Management,URL Rewrite Management
Unable to complete this request.,Unable to complete this request.
Unable to find a search term to delete.,Unable to find a search term to delete.
Unable to find an attribute to delete.,Unable to find an attribute to delete.
Unable to get the Post ID.,Unable to get the Post ID.
Unassigned Attributes,Unassigned Attributes
"Unknown EAV indexer type ""%s"".","Unknown EAV indexer type ""%s""."
Unknown attribute: %s.,Unknown attribute: %s.
"Unsupported Post type ""%s"".","Unsupported Post type ""%s""."
Up-sells,Up-sells
Update,Update
Update Attributes,Update Attributes
Update Tier Price,Update Tier Price
Update assigned Post,Update assigned Post
Update attribute,Update attribute
Update attributes,Update attributes
Update category,Update category
Update custom option of Post,Update custom option of Post
Update Post,Update Post
Update Post image,Update Post image
Update Post link,Update Post link
Update Post tier prices,Update Post tier prices
Update value of custom option,Update value of custom option
Upload new Post image ,Upload new Post image 
Use Canonical Link Meta Tag For Categories,Use Canonical Link Meta Tag For Categories
Use Canonical Link Meta Tag For Posts,Use Canonical Link Meta Tag For Posts
Use Categories Path for Post URLs,Use Categories Path for Post URLs
Use Config Settings,Use Config Settings
Use Default Value,Use Default Value
Use Flat Catalog Category,Use Flat Catalog Category
Use Flat Catalog Post,Use Flat Catalog Post
Use In Layered Navigation,Use In Layered Navigation
Use In Search Results Layered Navigation,Use In Search Results Layered Navigation
Use JavaScript Calendar,Use JavaScript Calendar
Use Static URLs for Media Content in WYSIWYG for Catalog,Use Static URLs for Media Content in WYSIWYG for Catalog
Use To Create Configurable Post,Use To Create Configurable Post
Use Tree Like Category Sitemap,Use Tree Like Category Sitemap
Use config,Use config
Use default,Use default
Use for Promo Rule Conditions,Use for Promo Rule Conditions
Use four-digit year format.,Use four-digit year format.
Use in Advanced Search,Use in Advanced Search
Use in Layered Navigation,Use in Layered Navigation
Use in Layered Navigation<br/>(Can be used only with catalog input type 'Dropdown'),Use in Layered Navigation<br/>(Can be used only with catalog input type 'Dropdown')
Use in Quick Search,Use in Quick Search
Used for Sorting in Post Listing,Used for Sorting in Post Listing
Used in Post Listing,Used in Post Listing
"Value for ""%s"" is invalid.","Value for ""%s"" is invalid."
"Value for ""%s"" is invalid: %s","Value for ""%s"" is invalid: %s"
Varchar,Varchar
View as,View as
Virtual Post,Virtual Post
Visibility,Visibility
Visible,Visible
Visible on Catalog Pages on Front-end,Visible on Catalog Pages on Front-end
Visible on Post View Page on Front-end,Visible on Post View Page on Front-end
WYSIWYG Editor,WYSIWYG Editor
Watermark,Watermark
Watermark Default Size,Watermark Default Size
"Watermark Opacity, Percent","Watermark Opacity, Percent"
Watermark Position,Watermark Position
We Also Recommend,We Also Recommend
Website,Website
Website Item Must be checked,Website Item Must be checked
Website Store Must be checked,Website Store Must be checked
Websites,Websites
What's this?,What's this?
"Whether to show ""All"" option in the ""Show X Per Page"" dropdown.","Whether to show ""All"" option in the ""Show X Per Page"" dropdown."
Will make search for the query above return results for this search.,Will make search for the query above return results for this search.
Wrong BuyRequest instance in options group.,Wrong BuyRequest instance in options group.
Wrong configuration item instance in options group.,Wrong configuration item instance in options group.
Wrong configuration item option instance in options group.,Wrong configuration item option instance in options group.
Wrong option instance type in options group.,Wrong option instance type in options group.
Wrong option type to get group instance.,Wrong option type to get group instance.
Wrong Post instance type in options group.,Wrong Post instance type in options group.
Wrong Post type filter specified,Wrong Post type filter specified
Wrong Post type to extract configurable options.,Wrong Post type to extract configurable options.
Year Range,Year Range
Yes,Yes
You cannot remove system attribute from this set.,You cannot remove system attribute from this set.
You have no items to compare.,You have no items to compare.
You may also be interested in the following Post(s),You may also be interested in the following Post(s)
Zoom In,Zoom In
Zoom Out,Zoom Out
and,and
and above,and above
categories,categories
each,each
ex. http://domain.com,ex. http://domain.com
leave blank if its not an image,leave blank if its not an image
per page,per page
Posts,Posts
px.,px.
save,save
select all,select all
unselect all,unselect all
x,x
