# of Use,# of Use
%1$s incl tax.,%1$s incl tax.
%s - %s,%s - %s
%s Item(s),%s Item(s)
%s and above,%s and above
An error occurred while updating the Post(s) status.,An error occurred while updating the Post(s) status.
"An invalid group ID is specified, skipping the record.","An invalid group ID is specified, skipping the record."
"An invalid option ID is specified for %s (%s), skipping the record.","An invalid option ID is specified for %s (%s), skipping the record."
An invalid store was specified.,An invalid store was specified.
Anchor Custom Text,Anchor Custom Text
Anchor Custom Title,Anchor Custom Title
Applicable to catalog Posts and categories only. Any media content will be inserted into editor as a static URL. It is not updated if the system configuration base URL changes.,Applicable to catalog Posts and categories only. Any media content will be inserted into editor as a static URL. It is not updated if the system configuration base URL changes.
Apply MAP (Default Value),Apply MAP (Default Value)
Apply To,Apply To
Approved,Approved
Are you sure you want to delete this category?,Are you sure you want to delete this category?
Are you sure you would like to remove all Posts from your comparison?,Are you sure you would like to remove all Posts from your comparison?
Are you sure you would like to remove this item from the compare Posts?,Are you sure you would like to remove this item from the compare Posts?
Are you sure?,Are you sure?
As low as:,As low as:
Assign,Assign
Assign Post link,Assign Post link
Assign Post to category,Assign Post to category
Assigned Posts,Assigned Posts
Associated Posts,Associated Posts
Attrib. Set Name,Attrib. Set Name
"Attribute ""%s"" is invalid.","Attribute ""%s"" is invalid."
"Attribute ""%s"" is required.","Attribute ""%s"" is required."
Attribute Information,Attribute Information
Attribute Model,Attribute Model
Attribute Name:,Attribute Name:
Attribute Set,Attribute Set
Attribute Sets,Attribute Sets
Attribute add,Attribute add
"Attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter."
"Attribute group with the \/name/\"" name already exists""","Attribute group with the \/name/\"" name already exists"""
Attribute group with the \/name/\ name already exists,Attribute group with the \/name/\ name already exists
Attribute remove,Attribute remove
Attribute with the same code already exists,Attribute with the same code already exists
Attributes,Attributes
Attrribute names can be specified per store.,Attrribute names can be specified per store.
Autogenerate,Autogenerate
Availability:,Availability:
Back,Back
Backend Model,Backend Model
Backend Table,Backend Table
Backend Table Title,Backend Table Title
Backorders,Backorders
Based On,Based On
Before Order Confirmation,Before Order Confirmation
Best Value,Best Value
Block after Info Column,Block after Info Column
Bottom Block Options Wrapper,Bottom Block Options Wrapper
Bottom/Left,Bottom/Left
Bottom/Right,Bottom/Right
Browse By,Browse By
Bundle Items,Bundle Items
Buy %1$s,Buy %1$s
Buy %1$s for,Buy %1$s for
Buy %1$s for %2$s,Buy %1$s for %2$s
Buy %1$s for %2$s (%3$s incl. tax) each,Buy %1$s for %2$s (%3$s incl. tax) each
Buy %1$s for %2$s each,Buy %1$s for %2$s each
Cache Lifetime (Seconds),Cache Lifetime (Seconds)
Cache refresh needed.,Cache refresh needed.
Can be Divided into Multiple Boxes for Shipping,Can be Divided into Multiple Boxes for Shipping
Can be used only with catalog input type Dropdown,Can be used only with catalog input type Dropdown
"Can be used only with catalog input type Dropdown, Multiple Select and Price","Can be used only with catalog input type Dropdown, Multiple Select and Price"
Can\'t create image.,Can\'t create image.
Cancel,Cancel
Cannot create image.,Cannot create image.
Cannot create writeable directory '%s'.,Cannot create writeable directory '%s'.
Cart Item Attribute,Cart Item Attribute
Catalog,Catalog
Catalog Category (Anchor),Catalog Category (Anchor)
Catalog Category (Non-Anchor),Catalog Category (Non-Anchor)
Catalog Category (Without Subcategories),Catalog Category (Without Subcategories)
Catalog Category Link,Catalog Category Link
Catalog New Posts List,Catalog New Posts List
Catalog Price Scope,Catalog Price Scope
Catalog Post Compare List,Catalog Post Compare List
Catalog Post Email to a Friend,Catalog Post Email to a Friend
Catalog Post Image Gallery Popup,Catalog Post Image Gallery Popup
Catalog Post Link,Catalog Post Link
Catalog Post View (Any),Catalog Post View (Any)
Catalog Post View (Configurable),Catalog Post View (Configurable)
Catalog Post View (Grouped),Catalog Post View (Grouped)
Catalog Post View (Simple),Catalog Post View (Simple)
Catalog Post View (Virtual),Catalog Post View (Virtual)
Catalog Section,Catalog Section
Catalog Seo Sitemap (Category List),Catalog Seo Sitemap (Category List)
Catalog Seo Sitemap (Category Tree),Catalog Seo Sitemap (Category Tree)
Catalog Seo Sitemap (Common),Catalog Seo Sitemap (Common)
Catalog Seo Sitemap (Post List),Catalog Seo Sitemap (Post List)
Catalog URL Rewrites,Catalog URL Rewrites
Catalog Post custom option values API,Catalog Post custom option values API
Catalog Post custom options API,Catalog Post custom options API
"Catalog, Search","Catalog, Search"
Categories,Categories
Categories Sitemap,Categories Sitemap
Category,Category
Category API,Category API
Category Data,Category Data
Category Flat Data,Category Flat Data
Category Link Block Template,Category Link Block Template
Category Link Inline Template,Category Link Inline Template
Category Posts,Category Posts
Category Top Navigation,Category Top Navigation
Category URL Suffix,Category URL Suffix
Category attributes API,Category attributes API
Category move error,Category move error
Category move error %s,Category move error %s
Category move operation is not possible: parent category is equal to child category.,Category move operation is not possible: parent category is equal to child category.
Category move operation is not possible: the current category was not found.,Category move operation is not possible: the current category was not found.
Category move operation is not possible: the new parent category was not found.,Category move operation is not possible: the new parent category was not found.
Category must be an instance of Mage_Catalog_Model_Category.,Category must be an instance of Mage_Catalog_Model_Category.
Center,Center
Change,Change
Change or Retrieve attribute store view,Change or Retrieve attribute store view
Change status,Change status
Check items to add to the cart or,Check items to add to the cart or
Choose an Option...,Choose an Option...
Clear All,Clear All
Clear Price,Clear Price
Click for price,Click for price
Close Window,Close Window
Collapse All,Collapse All
Comma-separated.,Comma-separated.
Comparable,Comparable
Comparable on Front-end,Comparable on Front-end
Comparable on the Frontend,Comparable on the Frontend
Compare,Compare
Compare Posts,Compare Posts
Conditions Combination,Conditions Combination
Configurable Post,Configurable Post
Configurable Post Settings,Configurable Post Settings
Configure Post,Configure Post
Continue,Continue
Copy From Configurable,Copy From Configurable
Country/State,Country/State
Create,Create
Create (Upload),Create (Upload)
Create Empty,Create Empty
Create Permanent Redirect for URLs if URL Key Changed,Create Permanent Redirect for URLs if URL Key Changed
Create Permanent Redirect for old URL,Create Permanent Redirect for old URL
Create Post Settings,Create Post Settings
Create Simple Associated Post,Create Simple Associated Post
Create attribute set based on another set,Create attribute set based on another set
Create new attribute,Create new attribute
Create new category,Create new category
Create new Post,Create new Post
Cross-sells,Cross-sells
Currently Shopping by:,Currently Shopping by:
Custom Design,Custom Design
Custom Options,Custom Options
Custom options,Custom options
Customer Group,Customer Group
Customers Reviews,Customers Reviews
Customers Tagged Post,Customers Tagged Post
Data Type for Saving in Database,Data Type for Saving in Database
Date & Time Custom Options,Date & Time Custom Options
Date Fields Order,Date Fields Order
Date Subscribed,Date Subscribed
Datetime,Datetime
Decimal,Decimal
Declare attribute value saving scope,Declare attribute value saving scope
"Default ""What's This"" Text Message","Default ""What's This"" Text Message"
Default Popup Text Message,Default Popup Text Message
Default Price,Default Price
Default Price Navigation Step,Default Price Navigation Step
Default Qty,Default Qty
Default Values,Default Values
"Defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"").","Defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"")."
Delete,Delete
Delete Attribute,Delete Attribute
Delete Attribute Set,Delete Attribute Set
Delete Category,Delete Category
Delete Group Price,Delete Group Price
Delete Option,Delete Option
Delete Row,Delete Row
Delete Search,Delete Search
Delete Selected Group,Delete Selected Group
Delete Tier,Delete Tier
Delete attribute,Delete attribute
Delete category,Delete category
Delete Post,Delete Post
Depends on design theme,Depends on design theme
Design,Design
Details,Details
Disabled,Disabled
Disallowed file type.,Disallowed file type.
Display Actual Price,Display Actual Price
Display Page Control,Display Page Control
Display Price Interval as One Price,Display Price Interval as One Price
Display Post Count,Display Post Count
Display Type,Display Type
Display in Suggested Terms,Display in Suggested Terms
Double click on a group to rename it,Double click on a group to rename it
Double click on above image to view full picture,Double click on above image to view full picture
Downloadable Information,Downloadable Information
Duplicate,Duplicate
Duplicate amount found.,Duplicate amount found.
Duplicate website group price customer group.,Duplicate website group price customer group.
Duplicate website tier price customer group and quantity.,Duplicate website tier price customer group and quantity.
"Duplicate website, country and state tax found.","Duplicate website, country and state tax found."
"E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance.","E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance."
Edit,Edit
Edit Attribute Set '%s',Edit Attribute Set '%s'
Edit Post Attribute,Edit Post Attribute
"Edit Post Attribute ""%s""","Edit Post Attribute ""%s"""
Edit Search,Edit Search
Edit Search '%s',Edit Search '%s'
Edit Set Name,Edit Set Name
Email,Email
Email to a Friend,Email to a Friend
Empty,Empty
Enable MAP,Enable MAP
Enable Qty Increments,Enable Qty Increments
Enable WYSIWYG,Enable WYSIWYG
Enable for reindexing a big number of SKUs.,Enable for reindexing a big number of SKUs.
Enabled,Enabled
Error during retrieval of option value: %s,Error during retrieval of option value: %s
Exclude,Exclude
Expand All,Expand All
Failed,Failed
"Failed to copy file %s. Please, delete media with non-existing images and try again.","Failed to copy file %s. Please, delete media with non-existing images and try again."
Failed to move file: %s,Failed to move file: %s
Feature Posts,Feature Posts
Field is not complete,Field is not complete
File options format is not valid.,File options format is not valid.
File upload failed,File upload failed
Filter model name must be declared.,Filter model name must be declared.
Filter must be an object. Please set correct filter.,Filter must be an object. Please set correct filter.
Filterable (no results),Filterable (no results)
Filterable (with results),Filterable (with results)
First Name,First Name
Fixed,Fixed
For internal use.,For internal use.
For the last time placed.,For the last time placed.
Frontend,Frontend
Frontend Model,Frontend Model
Frontend Properties,Frontend Properties
Gallery,Gallery
General Information,General Information
Get full information about attribute with list of options,Get full information about attribute with list of options
Get full information about custom option in Post,Get full information about custom option in Post
Get list of available custom option types,Get list of available custom option types
Get list of non-default attributes by Post type and attributes set,Get list of non-default attributes by Post type and attributes set
Get list of possible attribute types,Get list of possible attribute types
Get special price,Get special price
Global,Global
Globally Editable,Globally Editable
Go to Home Page,Go to Home Page
Grid,Grid
Group add,Group add
Group remove,Group remove
Grouped Post,Grouped Post
Groups,Groups
Home,Home
ID,ID
ID: %s,ID: %s
"If empty, the Category Name will be used","If empty, the Category Name will be used"
"If empty, the Post Name will be used","If empty, the Post Name will be used"
If you do not specify an option value for a specific store view then the default (Admin) value will be used.,If you do not specify an option value for a specific store view then the default (Admin) value will be used.
Image,Image
Image content is not valid base64 data.,Image content is not valid base64 data.
Image does not exist.,Image does not exist.
Image file was not found.,Image file was not found.
Image type and information need to be specified for each store view.,Image type and information need to be specified for each store view.
In Cart,In Cart
In Stock,In Stock
In stock,In stock
Incl. Tax,Incl. Tax
Index Post and categories URL rewrites,Index Post and categories URL rewrites
Index Post attributes for layered navigation building,Index Post attributes for layered navigation building
Index Post prices,Index Post prices
Indexed category/Posts association,Indexed category/Posts association
Info,Info
Info Column Options Wrapper,Info Column Options Wrapper
Input Type,Input Type
Integer,Integer
Interval Division Limit,Interval Division Limit
Invalid Tier Prices,Invalid Tier Prices
Invalid attribute %s,Invalid attribute %s
"Invalid attribute option specified for attribute %s (%s), skipping the record.","Invalid attribute option specified for attribute %s (%s), skipping the record."
"Invalid attribute set specified, skipping the record.","Invalid attribute set specified, skipping the record."
Invalid block: %s.,Invalid block: %s.
Invalid category IDs.,Invalid category IDs.
Invalid category.,Invalid category.
Invalid image file type.,Invalid image file type.
Invalid image type.,Invalid image type.
"Invalid option ID specified for %s (%s), skipping the record.","Invalid option ID specified for %s (%s), skipping the record."
"Invalid Post type specified, skipping the record.","Invalid Post type specified, skipping the record."
Invalid store specified,Invalid store specified
"Invalid store specified, skipping the record.","Invalid store specified, skipping the record."
Invalid tier prices. The Post is not associated to the requested website.,Invalid tier prices. The Post is not associated to the requested website.
Inventory,Inventory
Is Default,Is Default
Is Required,Is Required
Items %s to %s of %s total,Items %s to %s of %s total
Items that you do not want to show in the catalog or search results should have status 'Disabled' in the desired store.,Items that you do not want to show in the catalog or search results should have status 'Disabled' in the desired store.
Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.,Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.
Keep your eyes open for our special Back to School items and save A LOT!,Keep your eyes open for our special Back to School items and save A LOT!
Label,Label
Last Name,Last Name
Last Notification,Last Notification
Layered Navigation,Layered Navigation
Learn More,Learn More
"Line %d, Email: %s","Line %d, Email: %s"
"Line %d, SKU: %s","Line %d, SKU: %s"
"Link (Related, Up sell, Cross sell)","Link (Related, Up sell, Cross sell)"
Link Post does not exist.,Link Post does not exist.
Link to a Specified Category,Link to a Specified Category
Link to a Specified Post,Link to a Specified Post
List,List
List Mode,List Mode
List of Posts that are set as New,List of Posts that are set as New
List of types,List of types
Manage Attribute Sets,Manage Attribute Sets
Manage Attributes,Manage Attributes
Manage Catalog Categories,Manage Catalog Categories
Manage Categories,Manage Categories
Manage Label / Options,Manage Label / Options
Manage Options (values of your attribute),Manage Options (values of your attribute)
Manage Post Attributes,Manage Post Attributes
Manage Post Sets,Manage Post Sets
Manage Posts,Manage Posts
Manage Stock,Manage Stock
"Manage Titles (Size, Color, etc.)","Manage Titles (Size, Color, etc.)"
Max Characters,Max Characters
Maximal Depth,Maximal Depth
Maximum Image Size,Maximum Image Size
Maximum Number of Price Intervals,Maximum Number of Price Intervals
Maximum Qty Allowed in Shopping Cart,Maximum Qty Allowed in Shopping Cart
Maximum allowed image size for '%s' is %sx%s px.,Maximum allowed image size for '%s' is %sx%s px.
Maximum image height,Maximum image height
Maximum image width,Maximum image width
Maximum number of characters:,Maximum number of characters:
Maximum number of price intervals is 100,Maximum number of price intervals is 100
Media Image,Media Image
Minimum Advertised Price,Minimum Advertised Price
Minimum Lines per Page,Minimum Lines per Page
Minimum Qty Allowed in Shopping Cart,Minimum Qty Allowed in Shopping Cart
Minimum Qty for Item\'s Status to be Out of Stock,Minimum Qty for Item\'s Status to be Out of Stock
"Missing SKU, skipping the record.","Missing SKU, skipping the record."
More Views,More Views
Move,Move
Move category in tree,Move category in tree
Multi update Post,Multi update Post
Must be in the allowed values list.,Must be in the allowed values list.
N/A,N/A
Name,Name
Name in %s,Name in %s
New Post,New Post
New Post Attribute,New Post Attribute
New Posts,New Posts
New Posts Grid Template,New Posts Grid Template
New Posts List Template,New Posts List Template
New Root Category,New Root Category
New Search,New Search
New Set Name,New Set Name
New Subcategory,New Subcategory
New Posts,New Posts
Next,Next
No,No
No image,No image
No layout updates,No layout updates
No options of this Post are available.,No options of this Post are available.
No Post collections found.,No Post collections found.
None,None
Not Visible Individually,Not Visible Individually
Notify Low Stock RSS,Notify Low Stock RSS
Notify for Quantity Below,Notify for Quantity Below
Number of Posts per Page,Number of Posts per Page
Number of Posts to Display,Number of Posts to Display
Number of Uses,Number of Uses
Number of results,Number of results
Number of results (For the last time placed),Number of results (For the last time placed)
OK,OK
OR,OR
Old Price:,Old Price:
On Gesture,On Gesture
Option validation failed to add Post to cart.,Option validation failed to add Post to cart.
Option values,Option values
Option:,Option:
Options,Options
Options Control,Options Control
Options is required,Options is required
Our customer service is available 24/7. Call us at (555) 555-0123.,Our customer service is available 24/7. Call us at (555) 555-0123.
Out of Stock,Out of Stock
Out of stock,Out of stock
PM,PM
Page Title Separator,Page Title Separator
Parent Category,Parent Category
Pending,Pending
Pending Reviews RSS,Pending Reviews RSS
Percentage,Percentage
Please add rows to option.,Please add rows to option.
Please be careful as once you click on the row it will load package data form the selected file and all unsaved form data will be lost.,Please be careful as once you click on the row it will load package data form the selected file and all unsaved form data will be lost.
Please click on the Close Window button if it is not closed automatically.,Please click on the Close Window button if it is not closed automatically.
Please enter a new group name,Please enter a new group name
"Please refresh ""Catalog URL Rewrites"" and ""Post Attributes"" in System -&gt; <a href=""%s"">Index Management</a>","Please refresh ""Catalog URL Rewrites"" and ""Post Attributes"" in System -&gt; <a href=""%s"">Index Management</a>"
"Please refresh ""Catalog URL Rewrites"" and ""Post Attributes"" in System -> <a href=""%s"">Index Management</a>","Please refresh ""Catalog URL Rewrites"" and ""Post Attributes"" in System -> <a href=""%s"">Index Management</a>"
"Please refresh ""Post Attributes"" in System -&gt; <a href=""%s"">Index Management</a>","Please refresh ""Post Attributes"" in System -&gt; <a href=""%s"">Index Management</a>"
Please select a static block ...,Please select a static block ...
Please select items.,Please select items.
Please select one or more attributes.,Please select one or more attributes.
Please select Post(s).,Please select Post(s).
Please select Posts for attributes update,Please select Posts for attributes update
Please set up merge date/time,Please set up merge date/time
Please set up merge date/time later then present date,Please set up merge date/time later then present date
Please specify date required option(s).,Please specify date required option(s).
"Please specify the number of Posts, that will not be divided into subintervals.","Please specify the number of Posts, that will not be divided into subintervals."
Please specify the Post required option(s),Please specify the Post required option(s)
Please specify the Post required option(s).,Please specify the Post required option(s).
Please specify the Post\'s option(s).,Please specify the Post\'s option(s).
Please specify the Post\'s required option(s).,Please specify the Post\'s required option(s).
Please specify the quantity of Post(s).,Please specify the quantity of Post(s).
Please specify time required option(s).,Please specify time required option(s).
Please wait...,Please wait...
Position,Position
Position in Layered Navigation,Position in Layered Navigation
Position of attribute in layered navigation block,Position of attribute in layered navigation block
Prev,Prev
Previous,Previous
Price,Price
Price Navigation Step Calculation,Price Navigation Step Calculation
Price Type,Price Type
Price is not available,Price is not available
Price values for options should be specified in system base currency.,Price values for options should be specified in system base currency.
Price:,Price:
Price: %s,Price: %s
Print This Page,Print This Page
Post,Post
Post API,Post API
Post Alerts,Post Alerts
Post Attribute,Post Attribute
Post Attributes,Post Attributes
Post Categories,Post Categories
Post Description,Post Description
Post Extra Info,Post Extra Info
Post Flat Data,Post Flat Data
Post ID,Post ID
Post Image Placeholders,Post Image Placeholders
Post Image Watermarks,Post Image Watermarks
Post Images,Post Images
Post Images API,Post Images API
Post In Websites,Post In Websites
Post Info Column,Post Info Column
Post Information,Post Information
Post Link Block Template,Post Link Block Template
Post Link Inline Template,Post Link Inline Template
Post Listing Sort by,Post Listing Sort by
Post Name,Post Name
Post Prices,Post Prices
Post Reviews,Post Reviews
Post Tags,Post Tags
Post Tier Price API,Post Tier Price API
Post Type,Post Type
Post URL Suffix,Post URL Suffix
Post View Extra Hint,Post View Extra Hint
Post attribute sets API,Post attribute sets API
Post attributes API,Post attributes API
Post collection expected.,Post collection expected.
Post is not loaded,Post is not loaded
"Post links API (related, cross sells, up sells)","Post links API (related, cross sells, up sells)"
Post types API,Post types API
Post with this combination of attributes already associated to configurable.,Post with this combination of attributes already associated to configurable.
Posts,Posts
Posts Comparison List,Posts Comparison List
Posts Information,Posts Information
Posts Reviews,Posts Reviews
Posts Sitemap,Posts Sitemap
Posts only,Posts only
Posts per Page on Grid Allowed Values,Posts per Page on Grid Allowed Values
Posts per Page on Grid Default Value,Posts per Page on Grid Default Value
Posts per Page on List Allowed Values,Posts per Page on List Allowed Values
Posts per Page on List Default Value,Posts per Page on List Default Value
Properties,Properties
Qty,Qty
Qty Increments,Qty Increments
Qty Uses Decimals,Qty Uses Decimals
Qty for Item\'s Status to Become Out of Stock,Qty for Item\'s Status to Become Out of Stock
Qty:,Qty:
Quantity,Quantity
Quick Create,Quick Create
Quick Overview,Quick Overview
Quick simple Post creation,Quick simple Post creation
"Records for ""%s"" store found.","Records for ""%s"" store found."
Redirect,Redirect
Redirect URL,Redirect URL
Regular Price:,Regular Price:
Related Posts,Related Posts
Remove,Remove
Remove Post From Websites,Remove Post From Websites
Remove This Item,Remove This Item
Remove attribute from attribute set,Remove attribute from attribute set
Remove attribute set,Remove attribute set
Remove custom option,Remove custom option
Remove group from attribute set,Remove group from attribute set
Remove option,Remove option
Remove Post assignment,Remove Post assignment
Remove Post image,Remove Post image
Remove Post link,Remove Post link
Remove value from custom option,Remove value from custom option
Rename existing group,Rename existing group
Rename group,Rename group
Reorganize EAV category structure to flat structure,Reorganize EAV category structure to flat structure
Reorganize EAV Post structure to flat structure,Reorganize EAV Post structure to flat structure
Reset,Reset
Results,Results
Retrieve attribute data,Retrieve attribute data
Retrieve attribute list,Retrieve attribute list
Retrieve attribute options,Retrieve attribute options
Retrieve categories tree,Retrieve categories tree
Retrieve category attributes,Retrieve category attributes
Retrieve category data,Retrieve category data
Retrieve hierarchical tree,Retrieve hierarchical tree
Retrieve linked Posts,Retrieve linked Posts
Retrieve list of assigned Posts,Retrieve list of assigned Posts
Retrieve list of option values,Retrieve list of option values
Retrieve list of Post custom options,Retrieve list of Post custom options
Retrieve one level of categories by website/store view/parent category,Retrieve one level of categories by website/store view/parent category
Retrieve option value info,Retrieve option value info
Retrieve Post,Retrieve Post
Retrieve Post attribute sets,Retrieve Post attribute sets
Retrieve Post image,Retrieve Post image
Retrieve Post image list,Retrieve Post image list
Retrieve Post image types,Retrieve Post image types
Retrieve Post link type attributes,Retrieve Post link type attributes
Retrieve Post link types,Retrieve Post link types
Retrieve Post tier prices,Retrieve Post tier prices
Retrieve Post types,Retrieve Post types
Retrieve Posts data,Retrieve Posts data
Retrieve Posts list by filters,Retrieve Posts list by filters
Reviews,Reviews
Roll Over for preview,Roll Over for preview
Root,Root
SKU,SKU
SKU length should be %s characters maximum.,SKU length should be %s characters maximum.
Save,Save
Save Attribute,Save Attribute
Save Attribute Set,Save Attribute Set
Save Category,Save Category
Save Search,Save Search
Save and Continue Edit,Save and Continue Edit
Saved %d record(s),Saved %d record(s)
Scope,Scope
"Scope must not be changed, because the attribute is used in configurable Posts.","Scope must not be changed, because the attribute is used in configurable Posts."
Search,Search
Search Engine Optimizations,Search Engine Optimizations
Search Information,Search Information
Search Query,Search Query
Search Term with such search query already exists.,Search Term with such search query already exists.
Search Weight,Search Weight
Searchable,Searchable
See price before order confirmation.,See price before order confirmation.
Select Category...,Select Category...
Select Configurable Attributes ,Select Configurable Attributes 
Select Post...,Select Post...
Select type of option,Select type of option
Select type options required values rows.,Select type options required values rows.
Selected Post Types,Selected Post Types
Send Count,Send Count
Set Ascending Direction,Set Ascending Direction
Set Descending Direction,Set Descending Direction
Set Name,Set Name
Set Root Category for Store,Set Root Category for Store
"Set root category for this store in the <a href=""%s"">configuration</a>","Set root category for this store in the <a href=""%s"">configuration</a>"
Set special price,Set special price
Set/Get current store view,Set/Get current store view
Settings,Settings
Shop By,Shop By
Shopping Options,Shopping Options
Show,Show
Show Details,Show Details
Show Tags,Show Tags
Simple Post,Simple Post
Site Map,Site Map
Sitemap,Sitemap
"Skip import row, is not valid value ""%s"" for field ""%s""","Skip import row, is not valid value ""%s"" for field ""%s"""
"Skip import row, required field ""%s"" for the new customer is not defined.","Skip import row, required field ""%s"" for the new customer is not defined."
"Skip import row, the value ""%s"" is invalid for field ""%s""","Skip import row, the value ""%s"" is invalid for field ""%s"""
"Skipping import row, required field ""%s"" for new Posts is not defined.","Skipping import row, required field ""%s"" for new Posts is not defined."
"Skipping import row, required field ""%s"" is not defined.","Skipping import row, required field ""%s"" is not defined."
"Skipping import row, store ""%s"" field does not exist.","Skipping import row, store ""%s"" field does not exist."
"Skipping import row, the value ""%s"" is not valid for the ""%s"" field.","Skipping import row, the value ""%s"" is not valid for the ""%s"" field."
Some of the processed Posts have no SKU value defined. Please fill it prior to performing operations on these Posts.,Some of the processed Posts have no SKU value defined. Please fill it prior to performing operations on these Posts.
Some of the selected item options are not currently available.,Some of the selected item options are not currently available.
Sort By,Sort By
Sort Order,Sort Order
Source Model,Source Model
Special Expires On: %s,Special Expires On: %s
Special Price:,Special Price:
Special Price: %s,Special Price: %s
Starting at:,Starting at:
Static,Static
Static block and Posts,Static block and Posts
Static block only,Static block only
Status,Status
Stock Availability,Stock Availability
Store,Store
Store View,Store View
Stretch,Stretch
Subscribe to RSS Feed,Subscribe to RSS Feed
Super Post attributes configuration,Super Post attributes configuration
Synonym For,Synonym For
System Properties,System Properties
Tag Name,Tag Name
Tax,Tax
Template,Template
Text,Text
The Flat Catalog module has a limit of %2\$d filterable and/or sortable attributes. Currently there are %1\$d of them. Please reduce the number of filterable/sortable attributes in order to use this module,The Flat Catalog module has a limit of %2\$d filterable and/or sortable attributes. Currently there are %1\$d of them. Please reduce the number of filterable/sortable attributes in order to use this module
The From Date value should be less than or equal to the To Date value.,The From Date value should be less than or equal to the To Date value.
The attribute code \'%s\' is reserved by system. Please try another attribute code,The attribute code \'%s\' is reserved by system. Please try another attribute code
The attribute model is not defined,The attribute model is not defined
The attribute set has been saved.,The attribute set has been saved.
The base directory to upload file is not specified.,The base directory to upload file is not specified.
The category has been deleted.,The category has been deleted.
The category has been saved.,The category has been saved.
The comparison list was cleared.,The comparison list was cleared.
The file '%s' for '%s' has an invalid extension,The file '%s' for '%s' has an invalid extension
The file '%s' you uploaded is larger than %s Megabytes allowed by server,The file '%s' you uploaded is larger than %s Megabytes allowed by server
